,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20
Co máte na pracovním stole?,Počítač,39,Notebook,18,Bordel,13,Psací potřebu,7,Telefon,5,Dokumenty,3,Kalkulačka,2,Káva,1,Rostlina,1,Lampička,1,,,,,,,,,,,,,,,,,,,
 Co si nejčastěji kupujete za odměnu?,Oblečení,42,Jídlo,23,Čokoládu,12,Boty,8,Sladkosti,7,Víno,4,Kosmetiku,3,Knihu,2,Elektroniku,1,Parfém,1,,,,,,,,,,,,,,,,,,,
Co pomáhá na kocovinu?,Spánek,23,Voda,10,Nic,10,Česnečka,8,Vývar,6,Ibalgin,4,Cola,3,Pivo,2,Banán,1,Džus,1,,,,,,,,,,,,,,,,,,,
Čím otevřete víno bez vývrtky?,Nožem,30,Vařečkou,23,Klíčem,8,Botou,5,Rukou,4,Ničím,3,Šroubovák,2,Lžící,1,Vidličkou,1,Provázkem,1,,,,,,,,,,,,,,,,,,,
Věci které při odchodu necháme doma?,Klíče,10,Mozek,8,Peněženka,8,Mobil,5,Jídlo,3,Pití,2,Batoh,2,Děti,2,Brýle,1,Deštník,1,,,,,,,,,,,,,,,,,,,
Co najdete na stavbě?,Bagr,7,Dělníka,7,Rom,5,Alkohol,4,Lopata,3,Helma,3,Flákač,2,Cihly,1,Cement,1,Lešení,1,,,,,,,,,,,,,,,,,,,
Co je příčinou hádek partnerů?,Žena,7,Nevěra,6,Finance,5,Alkohol,4,Žárlivost,4,Spolelečný čas,3,Sex,2,Stres,1,Málo času,1,Rutina,1,,,,,,,,,,,,,,,,,,,
Čeho se bojí studenti SOŠ?,Maturita,9,Burda,7,Test,6,Pelikán,5,Málo známek,3,Zkoušení,2,Likeová ,2,Nedostatek kafe,1,Slohovky,1,Budoucnosti,1,,,,,,,,,,,,,,,,,,,
Nejčastější výmluva proč nejít na oslavu?,Nemoc,10,Finance,5,Čas,4,Práce,4,Škola,3,Nechci,2,Jiné plány,2,Osobní problémy,1,Špatná doprava,1,Nehoda,1,,,,,,,,,,,,,,,,,,,
Co si lidé pouští o vánocích?,Sám doma,8,Mrazík,7,Tři oříšky pro popelku,6,Grinch,5,Pelíšky,4,Pohádky,3,S čerty nejsou žerty,2,Koledy,1,Polární expres,1,Anděl páně,1,,,,,,,,,,,,,,,,,,,
Co koupíte v elektru?,Mobil,9,Notebook,6,Počítač,5,Myš,5,Nabíječku,4,Sluchátka,4,Světla,3,Televizi,1,Konzole,1,Reproduktor,1,,,,,,,,,,,,,,,,,,,
Místa kde se setkáte s přáteli?,Škola,8,Hospoda,6,Discord,5,Společenská akce,3,Ve hře,3,Strip bar,2,Teamspeak,2,Kavárna,1,Park,1,Doma,1,,,,,,,,,,,,,,,,,,,
Kam byste nikdy nešli sami?,¨Do lesa,16,Do kina,9,Na hřbitov,8,Kino,7,Koncert,5,Divadlo,4,Do baru,3,Do restaurace,1,Do klubu,1,Na festival,1,,,,,,,,,,,,,,,,,,,
Kam je nevhodné přijít v džínách?,Do Divadla,55,Na svatbu,20,Na ples,15,Na pohřeb,10,Do kostela,8,K maturitě,5,K soudu,2,Koupaliště,1,Na pláž,1,Pohovor,1,,,,,,,,,,,,,,,,,,,
Z jakého důvodu byste dali v práci výpověď?,Šikana,16,Málo peněz,16,Špatný kolektiv,9,Nespokojenost,7,Lepší nabídka,6,Pracovní podmínky,4,Stres,2,Stěhování,1,Vyhoření,1,Rutina,1,,,,,,,,,,,,,,,,,,,
Co je bílé?,Sníh,83,Víno,20,Mléko,7,Zeď,6,Papír,5,Mraky,3,Kůň,2,Prostěradlo,1,Svatební šaty,1,Zuby,1,,,,,,,,,,,,,,,,,,,
Nejlepší filmy:,Vykoupení z Vězníce Shawshank,10,Forrest Gump,9,přelet nad kukaččím hnízdem,8,Kmotr,7,Pelíšky,6,Terminátor,5,Pulp Fiction,4,Pán prstenů,3,Temný rytíř,2,Star Wars,1,,,,,,,,,,,,,,,,,,,
co by lékař mohl vytáhnout z pacienta?,Slepé střevo,10,Klíště,6,Tasemnici,6,Dítě,5,Tampón,5,Nádor,4,Zub,4,krev,5,Kulku,1,Stehy,1,,,,,,,,,,,,,,,,,,,
Nejhorší zlozvyk?,Kousání nehtů,39,Kouření,13,Lenost,10,Prokrastinace,7,Dloubání v nose,5,Sladkosti,4,Křupání kloubů,3,Lhaní,2,Přejídání,2,Nepořádnost,1,,,,,,,,,,,,,,,,,,,
K čemu by jste se nepřiznali?,K nevěře,35,Krádež,20,K vraždě,18,Lhaní,7,Dloubání v nose,5,Trapasu,4,Prdnutí,3,incest,1,Opisování,1,Homosexualita,1,,,,,,,,,,,,,,,,,,,
Co podle vás znamená slovo vošouch?,Bramborák,44,Jídlo,14,Úchyl,10,Brambor,7,Divný člověk,4,Naběračka,4,Milenec,2,Blbec,1,Sukničkář,1,Zvíře,1,,,,,,,,,,,,,,,,,,,
Co se stane když se moc opijete?,Pozvracím se,18,Smrt,15,Otrava alkoholem,12,Nevěra,8,Kocovina,6,Ostuda,4,Záchytka,3,Něco zničím,1,Vyznám lásku,1,Ubližím si,1,,,,,,,,,,,,,,,,,,,
Jmenujte nějakého komiksového superhrdinu,Superman,30,Batman,25,Iron Man,20,Thor,18,Hulk,15,Deadpool,10,Fifinka,4,Myšpulín,1,Kapitán Amerika,1,Strýček Skrblík,1,,,,,,,,,,,,,,,,,,,
Co vás napadne když se řekne párty,Alkohol,99,Hudba,18,Zábava,15,Balónky,14,Oslava,7,Přátelé,5,Sex,5,Tanec,5,Párty hárd,1,Puberťáci,1,,,,,,,,,,,,,,,,,,,
Co byste neměli říkat po sexu?,Nic moc,10,Jdu domů,9,Díky,8,Fuj,7,Mám AIDS,6,Byla jsi?,5,Byli lepší,4,Kolik za to chceš?,1,Konečně,1,Už musím,1,,,,,,,,,,,,,,,,,,,
